algorithm,instance,final_score
annealing,berlin52,7829.74061633
annealing,ch130,6352.08588095
annealing,eil51,444.217797732
annealing,kroA100,21848.5779388
annealing,kroC100,21475.0217857
annealing,lin105,14743.3986829
annealing,pr76,110608.467255
annealing,rd100,8197.36043478
annealing,tsp225,4052.4505
greedy,berlin52,8141.0034185
greedy,ch130,6502.13366
greedy,eil51,449.9134881
greedy,kroA100,22484.0630357
greedy,kroC100,21885.566625
greedy,lin105,15365.82475
greedy,pr76,112647.956103
greedy,rd100,8467.31638103
greedy,tsp225,4161.69979
heuristic,berlin52,9422.05967625
heuristic,ch130,7726.1795855
heuristic,eil51,560.631179825
heuristic,kroA100,27106.1391825
heuristic,kroC100,26338.3932025
heuristic,lin105,18736.5828725
heuristic,pr76,146948.950025
heuristic,rd100,10126.1292475
heuristic,tsp225,4908.881768
steepest,berlin52,8140.9823375
steepest,ch130,6588.58139
steepest,eil51,455.151540925
steepest,kroA100,22697.9044035
steepest,kroC100,22080.1668036
steepest,lin105,15275.3846818
steepest,pr76,113708.654828
steepest,rd100,8587.61244545
steepest,tsp225,4198.8926
tabusearch,berlin52,8094.43748154
tabusearch,ch130,6542.90557
tabusearch,eil51,453.979581972
tabusearch,kroA100,22907.5525
tabusearch,kroC100,22761.9632
tabusearch,lin105,15352.7334
tabusearch,pr76,112957.1464
tabusearch,rd100,8559.7517
tabusearch,tsp225,4197.65188
