algorithm,instance,final_score
annealing,berlin52,9171.795
annealing,ch130,9247.586
annealing,eil51,490.2303
annealing,kroA100,28603.785
annealing,kroC100,28187.84
annealing,lin105,20898.918
annealing,pr76,129725.32
annealing,rd100,10631.593
annealing,tsp225,8439.269
greedy,berlin52,8964.813
greedy,ch130,6712.072
greedy,eil51,484.0284
greedy,kroA100,24149.066
greedy,kroC100,23703.879
greedy,lin105,16251.701
greedy,pr76,122858.01
greedy,rd100,8886.61
greedy,tsp225,4244.071
heuristic,berlin52,10299.372
heuristic,ch130,8644.386
heuristic,eil51,630.6419
heuristic,kroA100,28694.684
heuristic,kroC100,29393.72
heuristic,lin105,20590.268
heuristic,pr76,157076.0
heuristic,rd100,10774.755
heuristic,tsp225,5348.135
optimal,berlin52,7544.3657
optimal,ch130,6110.862
optimal,eil51,429.98334
optimal,kroA100,21285.436
optimal,kroC100,20750.762
optimal,lin105,14382.995
optimal,pr76,108159.44
optimal,rd100,7910.3955
optimal,tsp225,3859.0
random,berlin52,34092.09
random,ch130,52113.082
random,eil51,1905.8024
random,kroA100,190997.62
random,kroC100,189156.97
random,lin105,139882.61
random,pr76,650744.75
random,rd100,61795.58
random,tsp225,44630.188
steepest,berlin52,8863.556
steepest,ch130,6896.631
steepest,eil51,481.74115
steepest,kroA100,24051.736
steepest,kroC100,23976.725
steepest,lin105,16212.27
steepest,pr76,123939.234
steepest,rd100,9072.935
steepest,tsp225,4319.0693
tabusearch,berlin52,9161.928
tabusearch,ch130,6823.035
tabusearch,eil51,535.55084
tabusearch,kroA100,22981.438
tabusearch,kroC100,23168.25
tabusearch,lin105,16412.643
tabusearch,pr76,117205.984
tabusearch,rd100,8960.135
tabusearch,tsp225,4301.655
