algorithm,instance,final_score
annealing,berlin52,7544.3657
annealing,ch130,6210.1323
annealing,eil51,428.9817
annealing,kroA100,21307.42
annealing,kroC100,20852.28
annealing,lin105,14393.728
annealing,pr76,108310.984
annealing,rd100,7952.3735
annealing,tsp225,3967.8093
greedy,berlin52,7544.3657
greedy,ch130,6313.455
greedy,eil51,430.8606
greedy,kroA100,21660.734
greedy,kroC100,20786.896
greedy,lin105,14588.042
greedy,pr76,108558.93
greedy,rd100,8023.8394
greedy,tsp225,4063.2307
heuristic,berlin52,8182.1924
heuristic,ch130,7198.7417
heuristic,eil51,505.77365
heuristic,kroA100,24698.5
heuristic,kroC100,23566.4
heuristic,lin105,16957.664
heuristic,pr76,130921.01
heuristic,rd100,9427.333
heuristic,tsp225,4633.2036
steepest,berlin52,7544.3657
steepest,ch130,6296.8613
steepest,eil51,435.28015
steepest,kroA100,21370.12
steepest,kroC100,20852.28
steepest,lin105,14443.221
steepest,pr76,109124.56
steepest,rd100,8028.052
steepest,tsp225,4073.0496
tabusearch,berlin52,7544.365
tabusearch,ch130,6257.242
tabusearch,eil51,430.24405
tabusearch,kroA100,21480.123
tabusearch,kroC100,21895.834
tabusearch,lin105,14872.551
tabusearch,pr76,110330.22
tabusearch,rd100,8200.316
tabusearch,tsp225,4119.2305
